abandon	 v.放弃；抛弃
sphere	 n.球；领域
stable	 a.稳定的 n.马厩
statistic	 a.统计的
status	 n.地位
straightforward	 a.坦率的；明确的
strategy	 n.战略；策略
stress	 n.压力；重音 v.强调
structure	 n.结构；建筑物
style	 n.风格
submit	 v.服从；提交
subordinate	 a.下级的；从属的 n.部下
subsequent	 a.随后的
subsidy	 n.补助；津贴
substitute	 n.代替者 v.代替
successor	 n.继任者
sufficient	 a.足够的
sum	 n.总数；金额 v.总计
summary	 n.概要 a.概括的
supplement	 n.增刊；补遗 v.增补；补充
survey	 v.俯瞰；测量；调查 n.俯瞰；测量；调查
survive	 v.幸存
suspend	 v.悬挂；推迟
sustain	 v.保持；忍受 
symbol	 n.象征；符号
tape	 v.捆；录(磁带) n.带子；磁带
target	 n.靶子；目标
task	 n.任务
team	 n.队；团队 v.协作
technical	 a.技术的
technique	 n.技术；技巧
technology	 n.技术
temporary	 a.暂时的；临时的
tense	 n.时态 a.绷紧的
terminate	 v.终止
text	 n.正文,文本
theme	 n.主题
theory	 n.理论
thereby	 ad.从而
thesis	 n.论文；论点
topic	 n.话题
trace	 n.痕迹 v.追踪
tradition	 n.传统
transfer	 v.&n.转移；换车；调动
transform	 v.转变；改革
transit	 n.通过；运输；过渡
transmit	 v.传播；传递
transport	 n.&v.运输
trend	 n.趋势
trigger	 v.引发 n.板机
ultimate	 a.最终的；根本的
undergo	 v.经历
underlie	 v.是…的基础
undertake	 v.接受；从事
uniform	 a.一样的 n.制服
unify	 v.统一
unique	 a.独一无二的
utilize	 v.利用
valid	 a.有效的；正当的
vary	 v.变化；使多样化
vehicle	 n.车辆
version	 n.译文；说法
via	 prep.经由
violate	 v.违犯
virtual	 a.实际上的
visible	 a.可看见的
vision	 n.视力；眼光
visual	 a.视觉的
volume	 n.卷，册；体积；额；音量
voluntary	 a.自愿的
welfare	 n.福利
whereas	 conj.而
whereby	 ad.由此
widespread	 a.普遍的
